#MPI Processes | Time/step [s] | Two body/step [s] | Shake/step [s] | LinkedLists/step [s]
2 0.747 0.272 0.081 0.117
4 0.520 0.215 0.073 0.070
6 0.433 0.212 0.056 0.056
8 0.420 0.242 0.049 0.044
10 0.473 0.276 0.057 0.047
12 0.400 0.242 0.045 0.037
16 0.460 0.303 0.057 0.042
20 0.560 0.411 0.050 0.036
24 0.567 0.444 0.042 0.029
