#OMP | Time/step [s] | eff | metal | eff | two body | eff | lists | eff
1 1.1954 1.0000 0.2225 1.0000 0.4543 1.0000 0.3879 1.0000
2 0.7054 0.8473 0.1213 0.9171 0.2367 0.9597 0.2158 0.8987
4 0.4479 0.6672 0.0683 0.8140 0.1213 0.9364 0.1294 0.7494
8 0.3207 0.4659 0.0437 0.6359 0.0678 0.8382 0.0797 0.6086
10 0.3008 0.3974 0.0389 0.5714 0.0557 0.8152 0.0726 0.5343
16 0.2490 0.3000 0.0292 0.4771 0.0347 0.8191 0.0531 0.4567
20 0.2968 0.2014 0.0292 0.3811 0.0296 0.7668 0.0482 0.4020
32 0.2401 0.1556 0.0280 0.2487 0.0259 0.5478 0.0431 0.2814
60 0.2191 0.0909 0.0247 0.1499 0.0171 0.4423 0.0362 0.1784
120 0.2772 0.0359 0.0304 0.0610 0.0171 0.2209 0.0360 0.0899
