#OMP | Time/step [s] | eff | two body | eff | shake | eff | lists | eff
1 27.6336 1.0000 8.3865 1.0000 8.6089 1.0000 5.3890 1.0000
2 17.7326 0.7792 4.3050 0.9741 4.3001 1.0010 3.8632 0.6975
4 12.7836 0.5404 2.2633 0.9264 2.2423 0.9598 3.0529 0.4413
8 10.0007 0.3454 1.1645 0.9002 1.1401 0.9439 2.5276 0.2665
10 9.4189 0.2934 0.9773 0.8582 0.9530 0.9033 2.4429 0.2206
16 8.4964 0.2033 0.6057 0.8653 0.5885 0.9143 2.2985 0.1465
20 8.3100 0.1663 0.5141 0.8157 0.4827 0.8918 2.2726 0.1186
32 7.8811 0.1096 0.3297 0.7949 0.3096 0.8690 2.1960 0.0767
60 7.6400 0.0603 0.1860 0.7514 0.1926 0.7451 2.1495 0.0418
120 7.5673 0.0304 0.1528 0.4574 0.1474 0.4868 2.1570 0.0208
180 7.6455 0.0201 0.1614 0.2887 0.1330 0.3597 2.1726 0.0138
240 7.7905 0.0148 0.1598 0.2186 0.1506 0.2381 2.2070 0.0102
