#MPI Processes | Time/step [s] | Two body/step [s] | Shake/step [s] | LinkedLists/step [s]
1 1.346 0.451 0.056 0.290
2 1.005 0.439 0.072 0.150
4 0.733 0.376 0.076 0.088
8 0.725 0.464 0.083 0.067
10 0.764 0.523 0.077 0.058
16 0.888 0.681 0.074 0.051
20 0.983 0.799 0.066 0.044
